"itemnr_old","item_old","itemnr_new","item_new"
"F100","Om du går ut ensam sent en kväll i området där du bor, känner du dig då...","F102","Om du går ut ensam sent en kväll i området där du bor, känner du dig då…"
"f101a","Vandalism (klotter, olaglig graffiti, förstörelse) är vanligt i bostadsområdet.","F103a","Vandalism (klotter, olaglig graffiti, förstörelse) är vanligt i bostadsområdet."
"f101b","Om en vuxen såg mig göra något olagligt i mitt bostadsområde skulle nog mina föräldrar få reda på det.","F103b","Om en vuxen såg mig göra något olagligt i mitt bostadsområde skulle nog mina föräldrar/vårdnadshavare få reda på det."
"f101c","Vuxna skulle ingripa om någon helt öppet försökte sälja narkotika till ungdomar.","F103c","Vuxna skulle ingripa om någon helt öppet försökte sälja narkotika till ungdomar."
"f101d","Det finns personer som säljer narkotika i bostadsområdet.","F103d","Det finns personer som säljer narkotika i bostadsområdet."
"f101e","På vardagskvällar finns det många berusade utomhus i bostadsområdet.","F103e","På vardagskvällar finns det många berusade utomhus i bostadsområdet."
"f101f","Så fort jag kan vill jag flytta till ett annat bostadsområde.","F103f","Så fort jag kan vill jag flytta till ett annat bostadsområde."
"f101g","Det är ovanligt med våldsbrott (misshandel, rån, våldtäkt) i det här bostadsområdet.","F103g","Det är ovanligt med våldsbrott (misshandel, rån, våldtäkt) i det här bostadsområdet."
"f101h","Vuxna skulle ingripa om det blev ett slagsmål framför mitt hus.","F103h","Vuxna skulle ingripa om det blev ett slagsmål framför mitt hus."
"f101i","Om jag blev rånad på en allmän plats i bostadsområdet skulle vuxna ingripa.","F103i","Om jag blev rånad på en allmän plats i bostadsområdet skulle vuxna ingripa."
"f101j","Mina grannar brukar heja/hälsa på mig när vi möts.","F103j","Mina grannar brukar heja/hälsa på mig när vi möts."
"f101k","Jag trivs bra i mitt bostadsområde.","F103k","Jag trivs bra i mitt bostadsområde."
"f101l","Om jag var tvungen att flytta skulle jag sakna bostadsområdet jag bor i.","F103l","Om jag var tvungen att flytta skulle jag sakna bostadsområdet jag bor i."
"F14","Röker du?","F14","Röker du cigaretter? (Räkna inte med e-cigaretter)"
"F16","Hur gammal var du första gången du rökte?","F17","Hur gammal var du första gången du rökte?"
"F17","Får du röka för dina föräldrar?","F18","Får du röka för dina föräldrar/vårdnadshavare?"
"F18","Snusar du?","F19b","Snusar du snus med tobak?"
"F20","Hur gammal var du första gången du snusade?","F21","Hur gammal var du första gången du snusade?"
"F21","Får du snusa för dina föräldrar?","F22","Får du snusa för dina föräldrar/vårdnadshavare?"
"f22a","Använder någon i din familj tobak (röker eller snusar)?","F23a","Nej"
"f22b","NA","F23b","Mamma"
"f22c","NA","F23c","Pappa"
"f22d","NA","F23d","Syskon"
"f22e","NA","F23e","Annan person"
"f22f","NA","F23f","Vet inte"
"F34","Hur ofta dricker du vid ett och samma tillfälle alkohol motsvarande minst 18cl sprit?","F35","Hur ofta dricker du vid ett och samma tillfälle alkohol motsvarande minst: cl sprit (en halv kvarting) eller en helflaska vin eller fyra stora flaskor stark cider/alkoläsk eller fyra burkar starköl eller sex burkar folköl?"
"F35","Hur många gånger har du druckit så mycket alkohol att du känt dig berusad?","F36","Hur många gånger har du druckit så mycket alkohol att du känt dig berusad?"
"f36","Hur många gånger har du druckit så mycket alkohol att du känt dig berusad under den senaste 4-veckorsperioden?","F37","Hur många gånger har du druckit så mycket alkohol att du känt dig berusad under den senaste -veckorsperioden?"
"F37","Hur gammal var du första gången du kände dig berusad?","F38","Hur gammal var du första gången du kände dig berusad?"
"F40","Får du dricka alkohol för dina föräldrar?","F41","Får du dricka alkohol för dina föräldrar/vårdnadshavare?"
"F41","Har du sniffat/boffat någon gång?","F42","Har du sniffat/boffat någon gång (t.ex. använt lustgas, butangas från tändare, drivgas från sprayburkar m.m.)?"
"F44","Hur gammal var du första gången du sniffade/boffade?","F45","Hur gammal var du första gången du sniffade/boffade?"
"F45","Har du någon gång använt narkotika? (Med narkotika avses t ex hasch, marijuana, amfetamin, ecstasy, LSD, kokain, heroin och GHB)","F46","Har du någon gång använt narkotika? (Med narkotika avses t ex hasch, marijuana, amfetamin, ecstasy, LSD, kokain, heroin och GHB)"
"F47","Hur många gånger totalt har du använt hasch/marijuana?","F48","Hur många gånger totalt har du använt hasch/marijuana?"
"F48","Hur många gånger totalt har du använt annan narkotika än hasch/marijuana?","F49","Hur många gånger totalt har du använt annan narkotika än hasch/marijuana?"
"F49","Hur många gånger har du använt narkotika (cannabis eller annan narkotika) den senaste 4-veckors perioden?","F50","Hur många gånger har du använt narkotika (cannabis eller annan narkotika) den senaste -veckorsperioden?"
"F51","Hur gammal var du första gången du använde narkotika?","F52","Hur gammal var du första gången du använde narkotika?"
"f53a","Har du det senaste läsåret varit i kontakt med någon hjälpinstans p.g.a alkohol eller droger?","F54a","Nej"
"f53b","NA","F54b","Ja, beroendespecialist (Maria Ungdom, Mini-Maria eller annan öppenvårdsmottagning)"
"f53c","NA","F54c","Ja, socialtjänsten (”soc”)"
"f53d","NA","F54d","Ja, ungdomsmottagning"
"f53e","NA","F54e","Ja, sjukvård (akut, vårdcentral eller liknande)"
"f53f","NA","F54f","Ja, annat. Vad?"
"f54a","Jag vet vilka regler som gäller på den här skolan.","F55a","Jag vet vilka regler som gäller på den här skolan."
"f54b","Jag trivs bra i skolan.","F55b","Jag trivs bra i skolan."
"f54c","Vi elever är med och planerar vad vi skall göra i undervisningen.","F55c","Vi elever är med och planerar vad vi skall göra i undervisningen."
"f54d","Lärarna berömmer elever som gör något bra i skolan.","F55d","Lärarna berömmer elever som gör något bra i skolan."
"f54e","Det är hög ljudnivå och stökigt på lektionerna.","F55e","Det är hög ljudnivå och stökigt på lektionerna."
"f54f","Skolarbetet känns meningslöst.","F55f","Skolarbetet känns meningslöst."
"f54g","Vi elever får vara med och bestämma över saker som är viktiga för oss.","F55g","Vi elever får vara med och bestämma över saker som är viktiga för oss."
"f54h","Lärarna förklarar vad vi får och vad vi inte får göra.","F55h","Lärarna förklarar vad vi får och vad vi inte får göra."
"f54i","I början av lektionerna tar det minst fem minuter innan arbetet kan börja","F55i","I början av lektionerna tar det minst fem minuter innan arbetet kan börja."
"f54j","Skolan berättar för mina föräldrar om jag gjort något bra.","F55j","Skolan berättar för mina föräldrar/vårdnadshavare om jag gjort något bra."
"f54k","Elevernas åsikter tas inte på allvar i den här skolan.","F55k","Elevernas åsikter tas inte på allvar i den här skolan."
"f54l","Vuxna ingriper om någon blir trakasserad eller mobbad.","F55l","Vuxna ingriper om någon blir kränkt, trakasserad eller mobbad."
"f54m","Mina lärare ger mig inget beröm om jag jobbar hårt.","F55m","Mina lärare ger mig inget beröm om jag jobbar hårt."
"f54n","Jag ser fram emot att gå till lektionerna.","F55n","Jag ser fram emot att gå till lektionerna."
"f54o","Jag är orolig för att utsättas för brott i skolan. (t.ex. stöld, misshandel etc)","F55o","Jag är orolig för att utsättas för brott i skolan. (t.ex. stöld, misshandel etc)"
"f54p","De flesta av mina lärare har intressant undervisning.","F55p","De flesta av mina lärare har intressant undervisning."
"f54q","Skolarbetet gör mig förvirrad.","F55q","Skolarbetet gör mig förvirrad."
"f54r","Om man inte förstår får man direkt hjälp av läraren.","F55r","Om jag (eller andra) inte förstår får vi direkt hjälp av läraren"
"F55","Har du varit borta från skolan det här läsåret därför att du var sjuk eller mådde dåligt?","F56","Har du varit borta från skolan det här läsåret därför att du var sjuk eller mådde dåligt?"
"F56","Har du skolkat en hel dag från skolan det här läsåret?","F57","Har du skolkat en hel dag från skolan det här läsåret?"
"F58","Hur skulle dina föräldrar reagera om du hade skolkat?","F59","Hur skulle dina föräldrar/vårdnadshavare reagera om du hade skolkat?"
"F59","Har du fuskat på läxförhör eller prov i skolan det här läsåret?","F60","Har du fuskat på läxförhör eller prov i skolan det här läsåret?"
"f60a","Nej, jag har inte känt mig mobbad eller trakasserad i skolan det här läsåret","F61a","Nej, jag har inte känt mig mobbad eller trakasserad i skolan det här läsåret"
"f60b","Jag har blivit hånad, förlöjligad, kallad öknamn eller blivit retad på ett obehagligt och sårande sätt","F61b","Jag har blivit hånad, förlöjligad, kallad öknamn eller blivit retad på ett obehagligt och sårande sätt"
"f60c","Jag har blivit utfrusen av andra elever","F61c","Jag har blivit utfrusen av andra elever"
"f60d","Jag har blivit slagen, sparkad, knuffad eller stängd inne","F61d","Jag har blivit slagen, sparkad, knuffad eller stängd inne"
"f60e","Någon elev har spritt lögner eller falska rykten om mig och försökt få andra att tycka illa om mig","F61e","Någon elev har spritt lögner eller falska rykten om mig och försökt få andra att tycka illa om mig"
"f60f","Jag har blivit fråntagen pengar eller saker eller fått saker förstörda","F61f","Jag har blivit fråntagen pengar eller saker eller fått saker förstörda"
"f60g","Jag har blivit hotad eller tvingad att göra saker som jag inte ville göra","F61g","Jag har blivit hotad eller tvingad att göra saker som jag inte ville göra"
"f60h","Lärare har psykat eller på annat sätt varit elaka mot mig","F61h","Lärare har psykat eller på annat sätt varit elaka mot mig"
"f60i","Jag har mobbats på annat sätt.","F61i","Jag har mobbats, kränkts eller trakasserats på annat sätt. Vilket?"
"F61","Hur ofta har du blivit mobbad eller trakasserad i skolan det här läsåret?","F62","Hur ofta har du blivit mobbad, kränkt eller trakasserad i skolan det här läsåret?"
"F62","Har du varit med om att mobba eller trakassera andra elever i skolan det här läsåret?","F63","Har du varit med om att mobba, kränka eller trakassera andra elever i skolan det här läsåret?"
"F63","Har du blivit mobbad eller trakasserad via internet eller SMS/MMS det här läsåret?","F64","Har du blivit mobbad, kränkt eller trakasserad via sociala medier, internet eller SMS/MMS det här läsåret?"
"F64","Har du varit med om att mobba eller trakassera andra elever via internet eller SMS/MMS det här läsåret?","F65","Har du varit med om att mobba, kränka eller trakassera andra elever via sociala medier, internet eller SMS/MMS det här läsåret?"
"F65a","Vad hade du för betyg förra terminen (senast) i svenska?","F66a","Vad hade du för betyg förra terminen (senast) i svenska?"
"F65b","Vad hade du för betyg förra terminen (senast) i engelska?","F66b","Vad hade du för betyg förra terminen (senast) i engelska?"
"F65c","Vad hade du för betyg förra terminen (senast) i matematik?","F66c","Vad hade du för betyg förra terminen (senast) i matematik?"
"f66a","Jag gör tvärt emot vad människor säger åt mig att göra, bara för att göra dem arga.","F67a","Jag gör tvärt emot vad människor säger åt mig att göra, bara för att göra dem arga."
"f66b","Jag gillar att göra spännande och farliga saker, även om det är förbjudet.","F67b","Jag gillar att göra spännande och farliga saker, även om det är förbjudet."
"f66c","Jag tål inte att bli provocerad, då kan jag slå till någon.","F67c","Jag tål inte att bli provocerad – då kan jag slå till någon."
"f66d","Jag ljuger för att få fördelar eller slippa göra jobbiga saker.","F67d","Jag ljuger för att få fördelar eller slippa göra jobbiga saker."
"f66e","Om jag blir arg på någon drar jag mig inte för att skada honom/henne.","F67e","Om jag blir arg på någon har jag inga problem att agera för att skada honom/henne"
"f66f","Jag är ofta ute på natten tillsammans med kamrater.","F67f","Jag är ofta ute på natten tillsammans med kompisar."
"f66g","Jag struntar i regler som hindrar mig från att göra det jag vill göra.","F67g","Jag struntar i regler som hindrar mig från att göra det jag vill göra."
"f66h","Jag tycker det är roligt att lösa svåra problem och uppgifter.","F67h","Jag tycker det är roligt att lösa svåra problem och uppgifter."
"f66i","Jag ser mig själv som en ganska impulsiv person.","F67i","Jag ser mig själv som en ganska impulsiv person."
"f66j","Jag vill gärna vara där det händer spännande saker.","F67j","Jag vill gärna vara där det händer spännande saker."
"f66k","Jag kan få andra att tro på nästan vad som helst.","F67k","Jag kan få andra att tro på nästan vad som helst."
"f66l","Jag blir ofta osäker när jag ställs inför nya uppgifter.","F67l","Jag blir ofta osäker när jag ställs inför nya uppgifter."
"f66m","Jag tänker oftast efter innan jag talar eller gör saker.","F67m","Jag tänker oftast efter innan jag talar eller gör saker."
"f66n","Jag gör dumma saker även om de är lite farliga.","F67n","Jag gör dumma saker även om de är lite farliga."
"f66o","Jag vill gärna se hur långt jag kan gå innan folk får nog.","F67o","Jag vill gärna se hur långt jag kan gå innan folk får nog."
"f66p","Det är fel att fuska i skolan.","F67p","Det är fel att fuska i skolan."
"f66q","Jag tycker att det är OK att ta något utan att fråga, om man inte blir upptäckt.","F67q","Jag tycker att det är OK att ta något utan att fråga, om man inte blir upptäckt."
"f66r","Det händer att jag gör saker utan att tänka mig för.","F67r","Det händer att jag gör saker utan att tänka mig för."
"f66s","Om jag ställs inför en svår uppgift så väljer jag att göra något annat.","F67s","Om jag ställs inför en svår uppgift så väljer jag att göra något annat."
"f66t","Den som gör mig arg ger jag mig på, även om han/hon inte slagit mig först.","F67t","Den som gör mig arg ger jag mig på – även om han/hon inte slagit mig först."
"f66u","Det är viktigt att vara ärlig mot föräldrarna, även om de blir arga.","F67u","Det är viktigt att vara ärlig mot föräldrarna/vårdnadshavare, även om de blir arga."
"F67","Tycker du att det är viktigt vad du kommer att jobba med när du blir stor eller spelar det ingen roll?","F68","Tycker du att det är viktigt vad du kommer att jobba med när du blir stor eller spelar det ingen roll?"
"F68","Om du jämför dina framtidsutsikter med de flesta andras i din ålder, tror du då att dina är sämre, lika bra, eller bättre?","F69","Om du jämför dina framtidsutsikter med de flesta andras i din ålder, tror du då att dina är sämre, lika bra eller bättre?"
"F69","Brukar du vara på fritidsgård eller ""träffpunkt""?","F70","Brukar du vara på fritidsgård eller ""träffpunkt""?"
"F70","Brukar du delta i någon ledarledd fritidsaktivitet eller träning?","F71","Brukar du delta i någon ledarledd fritidsaktivitet eller träning?"
"F73","Hur mycket pengar har du spelat för de senaste 30 dagarna?","F74","Hur mycket pengar har du spelat för de senaste dagarna? (Exempel: kasinospel, pokerspel, spelautomater, Loot-lådor, tips, vadslagning eller liknande)"
"f75a","Snattat?","F77a","Snattat?"
"f75b","Klottrat/olaglig graffiti?","F77b","Klottrat/olaglig graffiti?"
"f75c","Stulit en cykel?","F77c","Stulit en cykel?"
"f75d","Stulit en moped eller motorcykel?","F77d","Stulit en moped eller motorcykel?"
"f75e","Stulit en bil?","F77e","Stulit en bil?"
"f75f","Tvingat någon att ge dig pengar, mobiltelefon eller något annat värdefullt?","F77f","Tvingat någon att ge dig pengar, mobiltelefon eller något annat värdefullt?"
"f75g","Med avsikt förstört saker som inte var dina (t.ex. Fönsterrutor, gatlampor, cyklar)?","F77g","Med avsikt förstört saker som inte var dina (t.ex. fönsterrutor, gatlampor, cyklar)?"
"f75h","Använt annans/falsk legitimation?","F77h","Använt annans/falsk legitimation?"
"f75i","Tagit pengar hemma som inte var dina?","F77i","Tagit pengar hemma som inte var dina?"
"f75j","Smitit från betalning (t.ex. bio, kafé etc)?","F77j","Smitit från betalning (t.ex. bio, kafé etc)?"
"f75k","Tvingat någon att ha sex med dig?","F77k","Tvingat någon att ha sex med dig?"
"f75l","Stulit ur någons ficka?","F77l","Stulit ur någons ficka?"
"f75m","Stulit något annat som vi inte frågat om?","F77m","Stulit något annat som vi inte frågat om?"
"f75n","Köpt något som du vet var stulet?","F77n","Köpt något som du vet var stulet?"
"f75o","Sålt något som var stulet?","F77o","Sålt något som var stulet?"
"f75p","Tjuvåkt på tunnelbanan eller pendeltåget?","F77p","Tjuvåkt på tunnelbanan eller pendeltåget?"
"f75q","Gjort inbrott i bil, affär, kiosk eller annan byggnad?","F77q","Gjort inbrott i bil, affär, kiosk eller annan byggnad?"
"f75r","Med avsikt slagit någon så att du tror eller vet att han/hon behövde sjukvård?","F77r","Med avsikt slagit någon så att du tror eller vet att han/hon behövde sjukvård?"
"f75s","Burit vapen (t.ex. kniv eller knogjärn)?","F77s","Burit vapen (t.ex. kniv eller knogjärn)?"
"f78aa","Känt dig allvarligt hotad?","F80aa","Känt dig allvarligt hotad?"
"f78ba","Blivit rånad?","F80ba","Blivit rånad?"
"f78ca","Blivit bestulen?","F80ca","Blivit bestulen?"
"f78da","Blivit misshandlad?","F80da","Blivit misshandlad?"
"f78ea","Blivit tvingad till sex/våldtagen?","F80ea","Blivit tvingad till sex/våldtagen?"
"F79","Vet dina föräldrar/vårdnadshavare var du är när du är ute med kamrater på kvällar?","F81","Vet dina föräldrar/vårdnadshavare var du är när du är ute med kompisar på kvällar?"
"F80","Vet dina föräldrar/vårdnadshavare vilka kamrater du umgås med på din fritid?","F82","Vet dina föräldrar/vårdnadshavare vilka kompisar du umgås med på din fritid?"
"F81","Vet dina föräldrar/vårdnadshavare vad du spenderar dina pengar på?","F83","Vet dina föräldrar/vårdnadshavare vad du spenderar dina pengar på?"
"F82","Om du har ett personligt problem, kan du be någon av dina föräldrar/vårdnadshavare om hjälp?","F84","Om du har ett personligt problem, kan du be någon av dina föräldrar/vårdnadshavare om hjälp?"
"f83a","De ger mig beröm när jag gör något bra.","F85a","De ger mig beröm när jag gör något bra."
"f83b","De hotar med bestraffning för något jag gjort men genomför det inte.","F85b","De hotar med bestraffning för något jag gjort men genomför det inte."
"f83c","De brukar uppmuntra och stötta mig.","F85c","De brukar uppmuntra och stötta mig."
"f83d","Jag vet inte hur de reagerar när jag gjort något de inte gillar.","F85d","Jag vet inte hur de reagerar när jag gjort något de inte gillar."
"f83e","De märker när jag gör något bra.","F85e","De märker när jag gör något bra."
"f83f","Det humör de är på bestämmer hur de är mot mig.","F85f","Det humör de är på bestämmer hur de är mot mig."
"f83g","Jag bryr mig om vad mina föräldrar/vårdnadshavare säger.","F85g","Jag bryr mig om vad mina föräldrar/vårdnadshavare säger."
"f83h","Mina föräldrar/vårdnadshavare är en förebild för mig.","F85h","Mina föräldrar/vårdnadshavare är en förebild för mig."
"f86a","Motionerar och tränar regelbundet?","F88a","Motionerar och tränar regelbundet?"
"f86b","Har snattat/klottrat/vandaliserat?","F88b","Har snattat/klottrat/vandaliserat?"
"f86c","Är med i någon förening?","F88c","Är med i någon förening? (sport, hobby, musik eller någon annan förening)"
"f86d","Röker tobak?","F88d","Röker tobak?"
"f86e","Slåss?","F88e","Slåss?"
"f86f","Är duktiga i skolan?","F88f","Är duktiga i skolan?"
"f86g","Dricker sig berusad på alkohol?","F88g","Dricker sig berusad på alkohol?"
"f86h","Använder narkotika?","F88h","Använder narkotika?"
"f86i","Skolkar?","F88i","Skolkar?"
"f86j","Har rånat, gjort inbrott eller stulit en bil?","F88j","Har rånat, gjort inbrott eller stulit en bil?"
"F88","Hur ofta har du haft huvudvärk detta läsår?","F90","Hur ofta har du haft huvudvärk detta läsår?"
"F89","Känner du dig ledsen och deppig utan att veta varför?","F91","Känner du dig ledsen och deppig utan att veta varför?"
"F90","Händer det att du känner dig rädd utan att veta varför?","F92","Händer det att du känner dig rädd utan att veta varför?"
"F91","Hur ofta har du dålig aptit?","F93","Hur ofta har du dålig aptit?"
"F92","Hur mycket skulle du vilja ändra på dig själv?","F94","Hur mycket skulle du vilja ändra på dig själv?"
"F93","Hur ofta har du under detta läsår haft ”nervös mage” (t.ex. magknip, magkramper, orolig mage, illamående, gaser, förstoppning eller diarré)?","F95","Hur ofta har du under detta läsår haft ""nervös mage"" (t.ex. magknip, magkramper, orolig mage, illamående, gaser, förstoppning eller diarré)?"
"F94","Hur ofta tycker du att du inget duger till?","F96","Hur ofta tycker du att du inget duger till?"
"F95","Hur ofta har du under detta läsår haft svårt att somna?","F97","Hur ofta har du under detta läsår haft svårt att somna?"
"F96","Är du nöjd med ditt utseende?","F98","Är du nöjd med ditt utseende?"
"F97","Känner du dig slö och olustig?","F99","Känner du dig slö och olustig?"
"F98","Hur ofta har det hänt under detta läsår att du sovit oroligt och vaknat under natten?","F100","Hur ofta har det hänt under detta läsår att du sovit oroligt och vaknat under natten?"
"F99","Hur ofta tycker du att det är riktigt härligt att leva?","F101","Hur ofta tycker du att det är riktigt härligt att leva?"
"FNY12020","Röker du e-cigaretter?","F15","Röker du e-cigaretter (elektronisk cigarett som omvandlar vätska till vattenånga)?"
"FNY22020","Får du satsa pengar på spel för dina föräldrar?","F76","Får du satsa pengar på spel för dina föräldrar/vårdnadshavare?"
"ar","NA","ar","År"
"Hemkommun","NA","Hemkommun","Hemkommun"
"Skolkommun","NA","Skolkommun","Skolkommun"
"Skolenhetskod","NA","Skolenhetskod","Skolenhetskod"
"Skolnamn","NA","Skolnamn","Skolans namn"
"ARSKURS","NA","Arskurs","Årskurs"
"F2","NA","F2","Är du pojke, flicka eller har du en annan könstillhörighet? Med annan könstillhörighet menar vi personer som inte är eller känner sig som varken pojke eller flicka."
"F3_Omkodad","NA","F3_Omkodad","Vilket stadsdelsområde i Stockholm eller vilken kommun bor du i?"
"f4a","NA","F4a","Mamma"
"f4b","NA","F4b","Pappa"
"f4c","NA","F4c","Bonus-/styvförälder"
"f4d","NA","F4d","Syskon"
"f4e","NA","F4e","Mamma och pappa växelvis"
"f4f","NA","F4f","Andra släktingar"
"f4g","NA","F4g","Fosterföräldrar"
"f4h","NA","F4h","Annan"
"f4i","NA","F4i","Jag bor ensam"
"F5","NA","F5","Hur länge har du bott i Sverige?"
"f6a","NA","F6a","Vilken högsta utbildning har dina föräldrar/vårdnadshavare? - Mamma"
"f6b","NA","F6b","Vilken högsta utbildning har dina föräldrar/vårdnadshavare? - Pappa"
"F7","NA","F7","Vad bor du i för typ av bostad? (Ange den bostad där du är mest)"
"f8ma","NA","F8ma","Arbetar (hel- eller deltid)"
"f8mb","NA","F8mb","Studerar"
"f8mc","NA","F8mc","Tjänstledig/föräldraledig"
"f8md","NA","F8md","Arbetslös"
"f8me","NA","F8me","Annat"
"f8mf","NA","F8mf","Vet inte"
"f8pa","NA","F8pa","Arbetar (hel- eller deltid)"
"f8pb","NA","F8pb","Studerar"
"f8pc","NA","F8pc","Tjänstledig/föräldraledig"
"f8pd","NA","F8pd","Arbetslös"
"f8pe","NA","F8pe","Annat"
"f8pf","NA","F8pf","Vet inte"
"F9","NA","F9","Hur mycket pengar har du ungefär till fritid och nöjen varje månad?"
"F10","NA","F10","Har du flyttat under de senaste månaderna?"
"F11","NA","F11","Hur många gånger har du flyttat sedan du började i grundskolans år ?"
"F12","NA","F12","Har du bytt skola under de senaste månaderna?"
"F13","NA","F13","Hur många gånger har du bytt skola sedan du började i grundskolans år ?"
